agz	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	timestamp
0	3	-8	-2	0	8	65	69	162	120	8	973.91	63	47	-53	-1026	1634988059.9991
0	3	-7	-2	0	8	65	69	157	120	8	974.06	63	37	-68	-1027	1634988060.09349
0	2	-7	-1	0	7	65	69	149	110	8	973.98	63	30	-53	-1122	1634988060.1519
-1	2	-8	-1	0	7	65	69	146	110	8	973.88	63	43	-27	-1004	1634988060.25438
-1	4	-9	-1	0	6	65	69	143	110	8	973.67	64	38	-50	-1165	1634988060.35176
0	3	-9	0	0	5	65	69	139	100	8	973.83	64	26	-46	-978	1634988060.46025
0	3	-8	0	0	4	65	69	138	100	8	973.71	64	9	-14	-1033	1634988060.55831
0	3	-7	0	0	4	65	69	133	90	8	973.68	64	54	-99	-1061	1634988060.65269
0	3	-7	0	0	4	65	69	132	90	8	973.56	64	17	-27	-1022	1634988060.752
0	3	-7	0	0	3	65	68	128	90	8	973.5	64	16	-43	-1045	1634988060.86595
0	2	-6	0	0	3	65	68	126	80	8	973.44	64	43	-48	-982	1634988060.96229
0	2	-6	0	0	3	65	68	123	80	8	973.43	64	42	-36	-976	1634988061.06709
1	2	-6	0	0	3	65	68	122	80	8	973.38	64	0	-28	-990	1634988061.16497
2	3	-6	0	0	3	65	68	118	70	8	973.38	64	6	-21	-1007	1634988061.26107
1	3	-6	0	0	3	65	68	115	70	8	973.32	65	22	-50	-973	1634988061.36383
1	2	-6	0	0	3	65	68	112	70	8	973.25	65	45	-50	-964	1634988061.47785
1	2	-6	0	0	3	65	68	107	70	8	973.25	65	14	-56	-921	1634988061.57304
1	1	-6	0	0	4	65	68	102	60	8	973.25	65	17	-43	-957	1634988061.68108
1	2	-6	0	0	4	65	68	97	60	8	973.14	65	14	-46	-1023	1634988061.77653
2	2	-6	0	0	4	65	69	91	50	8	973.12	65	23	-84	-1057	1634988061.88155
2	2	-6	0	0	4	65	69	85	50	8	973	65	9	-65	-1071	1634988061.98514
1	3	-6	0	0	4	65	69	78	40	8	972.94	65	22	-81	-965	1634988062.08088
1	4	-6	0	0	4	65	69	70	40	8	972.81	65	7	-66	-1072	1634988062.19199
1	4	-6	0	0	4	65	69	62	30	8	972.85	65	24	-66	-956	1634988062.2972
1	4	-6	0	0	4	65	69	54	30	8	972.75	66	8	-64	-1030	1634988062.39391
0	4	-6	0	0	4	65	69	45	20	8	972.74	66	14	-87	-1015	1634988062.49248
0	4	-6	0	0	4	65	69	36	20	8	972.61	66	10	-62	-949	1634988062.59171
0	2	-6	0	0	4	65	69	27	20	8	972.39	66	-3	-57	-1069	1634988062.69193
0	2	-6	0	0	4	65	69	19	10	8	972.26	66	7	-48	-1139	1634988062.80127
0	3	-7	0	0	5	66	68	14	0	8	970.22	66	31	-54	-1113	1634988062.90723
0	2	-7	0	0	4	66	68	11	0	8	967.19	66	-23	-26	-1244	1634988063.00807
0	2	-7	0	0	4	66	68	11	0	8	967.19	66	-23	-26	-1244	1634988063.05493
0	0	-6	0	0	0	66	68	10	0	8	970.72	66	12	-5	-876	1634988063.10335
6	14	-4	0	0	0	66	68	10	0	8	971.14	66	54	-14	-285	1634988063.20886
-1	0	-3	0	0	3	66	68	10	0	8	971.53	66	-86	13	-636	1634988063.30678
-1	0	-2	0	0	2	66	68	10	0	8	971.8	66	-23	13	-965	1634988063.41632
-1	0	-2	0	0	3	66	68	10	0	8	971.89	66	-23	18	-966	1634988063.51011
